;accuracy;f1score;runtime;acc_mean;acc_min;acc_max;acc_std;f1_mean;f1_min;f1_max;f1_std;clf;vect;lemma_stem
RandomForest_tfidf_lemma;[0.6216216216216216, 0.4594594594594595, 0.5405405405405406, 0.5135135135135135, 0.5135135135135135, 0.6486486486486487, 0.5405405405405406, 0.5135135135135135, 0.5675675675675675, 0.6216216216216216];[0.6216216216216216, 0.4594594594594595, 0.5405405405405406, 0.5135135135135135, 0.5135135135135135, 0.6486486486486487, 0.5405405405405406, 0.5135135135135135, 0.5675675675675675, 0.6216216216216216];0.9721953868865967;0.5540540540540541;0.4594594594594595;0.6486486486486487;0.05701357597224051;0.5540540540540541;0.4594594594594595;0.6486486486486487;0.05701357597224051;RandomForest;tfidf;lemma
RandomForest_tfidf_stem;[0.6756756756756757, 0.4594594594594595, 0.5135135135135135, 0.5945945945945946, 0.6756756756756757, 0.6756756756756757, 0.4594594594594595, 0.4864864864864865, 0.5945945945945946, 0.6756756756756757];[0.6756756756756757, 0.4594594594594595, 0.5135135135135135, 0.5945945945945946, 0.6756756756756757, 0.6756756756756757, 0.4594594594594595, 0.4864864864864865, 0.5945945945945946, 0.6756756756756757];1.9912099838256836;0.581081081081081;0.4594594594594595;0.6756756756756757;0.0890252383351384;0.581081081081081;0.4594594594594595;0.6756756756756757;0.0890252383351384;RandomForest;tfidf;stem
RandomForest_count_lemma;[0.6756756756756757, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.5945945945945946, 0.6216216216216216, 0.3783783783783784, 0.43243243243243246, 0.5405405405405406, 0.6216216216216216];[0.6756756756756757, 0.4864864864864865, 0.5405405405405406, 0.5135135135135135, 0.5945945945945946, 0.6216216216216216, 0.37837837837837834, 0.43243243243243246, 0.5405405405405406, 0.6216216216216216];0.9801349639892578;0.5405405405405406;0.3783783783783784;0.6756756756756757;0.08715954322484917;0.5405405405405406;0.37837837837837834;0.6756756756756757;0.08715954322484917;RandomForest;count;lemma
RandomForest_count_stem;[0.5945945945945946, 0.40540540540540543, 0.5405405405405406, 0.5675675675675675, 0.6216216216216216, 0.6486486486486487, 0.43243243243243246, 0.4594594594594595, 0.5675675675675675, 0.6486486486486487];[0.5945945945945946, 0.40540540540540543, 0.5405405405405406, 0.5675675675675675, 0.6216216216216216, 0.6486486486486487, 0.43243243243243246, 0.4594594594594595, 0.5675675675675675, 0.6486486486486487];2.0090346336364746;0.5486486486486486;0.40540540540540543;0.6486486486486487;0.08378378378378379;0.5486486486486486;0.40540540540540543;0.6486486486486487;0.08378378378378379;RandomForest;count;stem
MultinomialNB_tfidf_lemma;[0.40540540540540543, 0.2972972972972973, 0.4864864864864865, 0.35135135135135137, 0.4864864864864865, 0.40540540540540543, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5135135135135135];[0.40540540540540543, 0.2972972972972973, 0.4864864864864865, 0.35135135135135137, 0.4864864864864865, 0.40540540540540543, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5135135135135135];0.5944292545318604;0.40540540540540543;0.2972972972972973;0.5135135135135135;0.06729675458372288;0.40540540540540543;0.2972972972972973;0.5135135135135135;0.06729675458372288;MultinomialNB;tfidf;lemma
MultinomialNB_tfidf_stem;[0.40540540540540543, 0.32432432432432434, 0.4864864864864865, 0.3783783783783784, 0.5135135135135135, 0.3783783783783784, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5405405405405406];[0.40540540540540543, 0.32432432432432434, 0.4864864864864865, 0.37837837837837834, 0.5135135135135135, 0.37837837837837834, 0.35135135135135137, 0.40540540540540543, 0.35135135135135137, 0.5405405405405406];1.6241133213043213;0.4135135135135135;0.32432432432432434;0.5405405405405406;0.07052966676053993;0.4135135135135135;0.32432432432432434;0.5405405405405406;0.07052966676053994;MultinomialNB;tfidf;stem
MultinomialNB_count_lemma;[0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.5945945945945946, 0.5945945945945946, 0.5945945945945946, 0.6756756756756757];[0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.5945945945945946, 0.5945945945945946, 0.5945945945945946, 0.6756756756756757];0.5947079658508301;0.5540540540540541;0.43243243243243246;0.6756756756756757;0.06424250985948493;0.5540540540540541;0.43243243243243246;0.6756756756756757;0.06424250985948493;MultinomialNB;count;lemma
MultinomialNB_count_stem;[0.5945945945945946, 0.5135135135135135, 0.6756756756756757, 0.5675675675675675, 0.5675675675675675, 0.4864864864864865, 0.6756756756756757, 0.5945945945945946, 0.6216216216216216, 0.6486486486486487];[0.5945945945945946, 0.5135135135135135, 0.6756756756756757, 0.5675675675675675, 0.5675675675675675, 0.4864864864864865, 0.6756756756756757, 0.5945945945945946, 0.6216216216216216, 0.6486486486486487];1.647688865661621;0.5945945945945945;0.4864864864864865;0.6756756756756757;0.06043426966215647;0.5945945945945945;0.4864864864864865;0.6756756756756757;0.06043426966215647;MultinomialNB;count;stem
GaussianNB_tfidf_lemma;[0.4864864864864865, 0.4864864864864865, 0.5135135135135135, 0.5405405405405406, 0.5135135135135135, 0.43243243243243246, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.6216216216216216];[0.4864864864864865, 0.4864864864864865, 0.5135135135135135, 0.5405405405405406, 0.5135135135135135, 0.43243243243243246, 0.5405405405405406, 0.5405405405405406, 0.4864864864864865, 0.6216216216216216];0.6752891540527344;0.5162162162162163;0.43243243243243246;0.6216216216216216;0.047509177922289036;0.5162162162162163;0.43243243243243246;0.6216216216216216;0.047509177922289036;GaussianNB;tfidf;lemma
GaussianNB_tfidf_stem;[0.4864864864864865, 0.4864864864864865, 0.4864864864864865, 0.5675675675675675, 0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.4864864864864865, 0.5135135135135135, 0.5675675675675675];[0.4864864864864865, 0.4864864864864865, 0.4864864864864865, 0.5675675675675675, 0.5135135135135135, 0.43243243243243246, 0.5675675675675675, 0.4864864864864865, 0.5135135135135135, 0.5675675675675675];1.7040414810180664;0.5108108108108108;0.43243243243243246;0.5675675675675675;0.04264792929205268;0.5108108108108108;0.43243243243243246;0.5675675675675675;0.04264792929205268;GaussianNB;tfidf;stem
