;accuracy;f1score;maccuracy;mf1score;runtime;macc_mean;macc_min;macc_max;macc_std;mf1_mean;mf1_min;mf1_max;mf1_std;clf;vect;lemma_stem
RandomForest_tfidf_lemma;0.09072164948453608;0.10393939393939394;"[0.58453608 0.704811   0.70584192 0.73573883 0.77147766 0.84536082
 0.84226804 0.88728522 0.89037801]";"[0.30236584 0.0832444  0.002331   0.06105006 0.0029985  0.05462185
 0.         0.00606061 0.00623053]";48.5819308757782;0.7741886216113021;0.5845360824742268;0.8903780068728522;0.09599158040380593;0.05765586501356457;0.0;0.3023658395845355;0.09143156091656338;RandomForest;tfidf;lemma
RandomForest_tfidf_stem;0.08934707903780069;0.11054062216852915;"[0.5975945  0.70412371 0.70652921 0.73195876 0.77216495 0.84364261
 0.84226804 0.88728522 0.89037801]";"[0.33953751 0.07319699 0.00697674 0.03703704 0.00896861 0.03397028
 0.         0.00606061 0.00623053]";70.26650404930115;0.7751050019091257;0.597594501718213;0.8903780068728522;0.09321525149294824;0.05688647731214717;0.0;0.3395375070501974;0.10233347387461166;RandomForest;tfidf;stem
RandomForest_count_lemma;0.09243986254295533;0.116945107398568;"[0.58728522 0.70034364 0.70584192 0.73505155 0.77147766 0.84604811
 0.8419244  0.88728522 0.89037801]";"[0.34905149 0.05217391 0.002331   0.05860806 0.00597907 0.07053942
 0.         0.00606061 0.00623053]";47.88949465751648;0.7739595265368462;0.5872852233676976;0.8903780068728522;0.09582307535824372;0.06121934360931669;0.0;0.34905149051490514;0.1050694138060262;RandomForest;count;lemma
RandomForest_count_stem;0.08762886597938144;0.12904178355234017;"[0.59450172 0.7024055  0.70584192 0.73402062 0.77147766 0.84501718
 0.84226804 0.88728522 0.89003436]";"[0.38477581 0.06277056 0.002331   0.05378973 0.0029985  0.05450734
 0.         0.00606061 0.00621118]";69.59701371192932;0.7747613592974418;0.5945017182130584;0.8900343642611683;0.09404012521676305;0.0637160809718936;0.0;0.38477580813347234;0.1161459974913229;RandomForest;count;stem
MRandomForest_tfidf_lemma;0.08900343642611684;0.2071800493285832;"[0.60652921 0.72268041 0.70790378 0.73505155 0.7742268  0.84467354
 0.84226804 0.88728522 0.89106529]";"[0.49934412 0.22627037 0.02745995 0.05630355 0.04366812 0.05439331
 0.         0.00606061 0.01857585]";132.0143563747406;0.7790759831996945;0.6065292096219931;0.89106529209622;0.08976953090649566;0.10356398686926241;0.0;0.49934411893310016;0.15390646705140978;MRandomForest;tfidf;lemma
MRandomForest_tfidf_stem;0.09690721649484536;0.22627244498447413;"[0.61649485 0.72783505 0.70962199 0.73573883 0.77697595 0.84329897
 0.84226804 0.88694158 0.89140893]";"[0.52144082 0.26937269 0.04086266 0.06561361 0.07153076 0.03797468
 0.         0.0060423  0.02469136]";148.48319125175476;0.781176021382207;0.6164948453608248;0.8914089347079038;0.08698432225490425;0.11528098641591322;0.0;0.5214408233276158;0.1626293087829489;MRandomForest;tfidf;stem
MRandomForest_count_lemma;0.0865979381443299;0.24727838258164855;"[0.59484536 0.72783505 0.70756014 0.7347079  0.77628866 0.84604811
 0.84020619 0.88522337 0.89140893]";"[0.51421508 0.32191781 0.06380638 0.09176471 0.10943912 0.05882353
 0.03326403 0.00595238 0.06508876]";133.51299905776978;0.7782359679266896;0.5948453608247423;0.8914089347079038;0.09174792951777376;0.14047464451081484;0.005952380952380952;0.5142150803461063;0.15767678278828764;MRandomForest;count;lemma
MRandomForest_count_stem;0.09725085910652921;0.25172458674996745;"[0.60446735 0.73092784 0.70893471 0.73676976 0.77766323 0.84536082
 0.84398625 0.88556701 0.89072165]";"[0.51861146 0.33474936 0.07025247 0.08809524 0.12920592 0.04661017
 0.03813559 0.01186944 0.06470588]";145.0427496433258;0.7804887361588393;0.60446735395189;0.8907216494845361;0.0893881565891678;0.14469283706004094;0.011869436201780416;0.5186114596403177;0.15983871903994273;MRandomForest;count;stem
MMultinomialNB_tfidf_lemma;0.0879725085910653;0.052971779914866776;"[0.57388316 0.695189   0.70618557 0.72817869 0.77147766 0.84158076
 0.84226804 0.88694158 0.89003436]";"[0.21219822 0.00224972 0.         0.         0.         0.
 0.         0.         0.        ]";15.041277170181274;0.7706376479572357;0.5738831615120275;0.8900343642611683;0.09905575505681659;0.02382754887532324;0.0;0.21219822109275732;0.06660278397658909;MMultinomialNB;tfidf;lemma
MMultinomialNB_tfidf_stem;0.09106529209621993;0.0534218428955271;"[0.57972509 0.69553265 0.70618557 0.72817869 0.77147766 0.84158076
 0.84226804 0.88694158 0.89003436]";"[0.21451509 0.00449438 0.         0.         0.         0.
 0.         0.         0.        ]";41.702561140060425;0.7713249331806034;0.579725085910653;0.8900343642611683;0.0977455165227513;0.024334386127809086;0.0;0.21451509312780986;0.06725363560221616;MMultinomialNB;tfidf;stem
